,index,src,tar
0,1,서울특별시,LOC_B
1,2,맛집,FOD_B
2,3,갈래,-
3,4,?,-
4,1,종로구,LOC_B
5,2,맛집,FOD_B
6,3,어디야,-
7,4,?,-
8,1,청운동,LOC_B
9,2,맛집,FOD_B
10,3,어디야,-
11,4,?,-
12,1,신교동,LOC_B
13,2,맛집,FOD_B
14,3,알려줘,-
15,4,?,-
16,1,궁정동,LOC_B
17,2,맛집,FOD_B
18,3,어딨어,-
19,4,?,-
20,1,효자동,LOC_B
21,2,맛집,FOD_B
22,3,어디,-
23,4,?,-
24,1,창성동,LOC_B
25,2,맛집,FOD_B
26,3,어딨어,-
27,4,?,-
28,1,통의동,LOC_B
29,2,맛집,FOD_B
30,3,갈래,-
31,4,?,-
32,1,적선동,LOC_B
33,2,맛집,FOD_B
34,3,알려줘,-
35,4,?,-
36,1,통인동,LOC_B
37,2,맛집,FOD_B
38,3,어디야,-
39,4,?,-
40,1,누상동,LOC_B
41,2,맛집,FOD_B
42,3,어디야,-
43,4,?,-
44,1,누하동,LOC_B
45,2,맛집,FOD_B
46,3,갈래,-
47,4,?,-
48,1,옥인동,LOC_B
49,2,맛집,FOD_B
50,3,갈래,-
51,4,?,-
52,1,체부동,LOC_B
53,2,맛집,FOD_B
54,3,어디야,-
55,4,?,-
56,1,필운동,LOC_B
57,2,맛집,FOD_B
58,3,갈래,-
59,4,?,-
60,1,내자동,LOC_B
61,2,맛집,FOD_B
62,3,어디야,-
63,4,?,-
64,1,사직동,LOC_B
65,2,맛집,FOD_B
66,3,갈래,-
67,4,?,-
68,1,도렴동,LOC_B
69,2,맛집,FOD_B
70,3,알려줘,-
71,4,?,-
72,1,당주동,LOC_B
73,2,맛집,FOD_B
74,3,알려줘,-
75,4,?,-
76,1,내수동,LOC_B
77,2,맛집,FOD_B
78,3,알려줘,-
79,4,?,-
80,1,세종로,LOC_B
81,2,맛집,FOD_B
82,3,어디야,-
83,4,?,-
84,1,신문로1가,LOC_B
85,2,맛집,FOD_B
86,3,어디,-
87,4,?,-
88,1,신문로2가,LOC_B
89,2,맛집,FOD_B
90,3,어딨어,-
91,4,?,-
92,1,청진동,LOC_B
93,2,맛집,FOD_B
94,3,어디,-
95,4,?,-
96,1,서린동,LOC_B
97,2,맛집,FOD_B
98,3,갈래,-
99,4,?,-
100,1,수송동,LOC_B
101,2,맛집,FOD_B
102,3,어디야,-
103,4,?,-
104,1,중학동,LOC_B
105,2,맛집,FOD_B
106,3,어디,-
107,4,?,-
108,1,종로1가,LOC_B
109,2,맛집,FOD_B
110,3,어디야,-
111,4,?,-
112,1,공평동,LOC_B
113,2,맛집,FOD_B
114,3,어디,-
115,4,?,-
116,1,관훈동,LOC_B
117,2,맛집,FOD_B
118,3,어디야,-
119,4,?,-
120,1,견지동,LOC_B
121,2,맛집,FOD_B
122,3,어디,-
123,4,?,-
124,1,와룡동,LOC_B
125,2,맛집,FOD_B
126,3,알려줘,-
127,4,?,-
128,1,권농동,LOC_B
129,2,맛집,FOD_B
130,3,어디,-
131,4,?,-
132,1,운니동,LOC_B
133,2,맛집,FOD_B
134,3,알려줘,-
135,4,?,-
136,1,익선동,LOC_B
137,2,맛집,FOD_B
138,3,갈래,-
139,4,?,-
140,1,경운동,LOC_B
141,2,맛집,FOD_B
142,3,갈래,-
143,4,?,-
144,1,관철동,LOC_B
145,2,맛집,FOD_B
146,3,갈래,-
147,4,?,-
148,1,인사동,LOC_B
149,2,맛집,FOD_B
150,3,어디야,-
151,4,?,-
152,1,낙원동,LOC_B
153,2,맛집,FOD_B
154,3,갈래,-
155,4,?,-
156,1,종로2가,LOC_B
157,2,맛집,FOD_B
158,3,갈래,-
159,4,?,-
160,1,팔판동,LOC_B
161,2,맛집,FOD_B
162,3,어디,-
163,4,?,-
164,1,삼청동,LOC_B
165,2,맛집,FOD_B
166,3,어디,-
167,4,?,-
168,1,안국동,LOC_B
169,2,맛집,FOD_B
170,3,어디야,-
171,4,?,-
172,1,소격동,LOC_B
173,2,맛집,FOD_B
174,3,어딨어,-
175,4,?,-
176,1,화동,LOC_B
177,2,맛집,FOD_B
178,3,알려줘,-
179,4,?,-
180,1,사간동,LOC_B
181,2,맛집,FOD_B
182,3,갈래,-
183,4,?,-
184,1,송현동,LOC_B
185,2,맛집,FOD_B
186,3,알려줘,-
187,4,?,-
188,1,가회동,LOC_B
189,2,맛집,FOD_B
190,3,어디,-
191,4,?,-
192,1,재동,LOC_B
193,2,맛집,FOD_B
194,3,어디,-
195,4,?,-
196,1,계동,LOC_B
197,2,맛집,FOD_B
198,3,갈래,-
199,4,?,-
200,1,원서동,LOC_B
201,2,맛집,FOD_B
202,3,어디야,-
203,4,?,-
204,1,훈정동,LOC_B
205,2,맛집,FOD_B
206,3,어딨어,-
207,4,?,-
208,1,묘동,LOC_B
209,2,맛집,FOD_B
210,3,어딨어,-
211,4,?,-
212,1,봉익동,LOC_B
213,2,맛집,FOD_B
214,3,어디,-
215,4,?,-
216,1,돈의동,LOC_B
217,2,맛집,FOD_B
218,3,어디야,-
219,4,?,-
220,1,장사동,LOC_B
221,2,맛집,FOD_B
222,3,어디,-
223,4,?,-
224,1,관수동,LOC_B
225,2,맛집,FOD_B
226,3,알려줘,-
227,4,?,-
228,1,종로3가,LOC_B
229,2,맛집,FOD_B
230,3,갈래,-
231,4,?,-
232,1,인의동,LOC_B
233,2,맛집,FOD_B
234,3,어디,-
235,4,?,-
236,1,예지동,LOC_B
237,2,맛집,FOD_B
238,3,어디,-
239,4,?,-
240,1,원남동,LOC_B
241,2,맛집,FOD_B
242,3,갈래,-
243,4,?,-
244,1,연지동,LOC_B
245,2,맛집,FOD_B
246,3,어디,-
247,4,?,-
248,1,종로4가,LOC_B
249,2,맛집,FOD_B
250,3,어디야,-
251,4,?,-
252,1,효제동,LOC_B
253,2,맛집,FOD_B
254,3,어딨어,-
255,4,?,-
256,1,종로5가,LOC_B
257,2,맛집,FOD_B
258,3,어디야,-
259,4,?,-
260,1,종로6가,LOC_B
261,2,맛집,FOD_B
262,3,어디,-
263,4,?,-
264,1,이화동,LOC_B
265,2,맛집,FOD_B
266,3,어디,-
267,4,?,-
268,1,연건동,LOC_B
269,2,맛집,FOD_B
270,3,알려줘,-
271,4,?,-
272,1,충신동,LOC_B
273,2,맛집,FOD_B
274,3,알려줘,-
275,4,?,-
276,1,동숭동,LOC_B
277,2,맛집,FOD_B
278,3,어딨어,-
279,4,?,-
280,1,혜화동,LOC_B
281,2,맛집,FOD_B
282,3,어디,-
283,4,?,-
284,1,명륜1가,LOC_B
285,2,맛집,FOD_B
286,3,어디야,-
287,4,?,-
288,1,명륜2가,LOC_B
289,2,맛집,FOD_B
290,3,갈래,-
291,4,?,-
292,1,명륜4가,LOC_B
293,2,맛집,FOD_B
294,3,어디야,-
295,4,?,-
296,1,명륜3가,LOC_B
297,2,맛집,FOD_B
298,3,어디야,-
299,4,?,-
300,1,창신동,LOC_B
301,2,맛집,FOD_B
302,3,어딨어,-
303,4,?,-
304,1,숭인동,LOC_B
305,2,맛집,FOD_B
306,3,어디,-
307,4,?,-
308,1,교남동,LOC_B
309,2,맛집,FOD_B
310,3,어딨어,-
311,4,?,-
312,1,평동,LOC_B
313,2,맛집,FOD_B
314,3,갈래,-
315,4,?,-
316,1,송월동,LOC_B
317,2,맛집,FOD_B
318,3,어딨어,-
319,4,?,-
320,1,홍파동,LOC_B
321,2,맛집,FOD_B
322,3,어디야,-
323,4,?,-
324,1,교북동,LOC_B
325,2,맛집,FOD_B
326,3,어디,-
327,4,?,-
328,1,행촌동,LOC_B
329,2,맛집,FOD_B
330,3,알려줘,-
331,4,?,-
332,1,구기동,LOC_B
333,2,맛집,FOD_B
334,3,어디야,-
335,4,?,-
336,1,평창동,LOC_B
337,2,맛집,FOD_B
338,3,갈래,-
339,4,?,-
340,1,부암동,LOC_B
341,2,맛집,FOD_B
342,3,알려줘,-
343,4,?,-
344,1,홍지동,LOC_B
345,2,맛집,FOD_B
346,3,알려줘,-
