,index,src,tar
0,1,오늘의,DAT_B
1,2,사회,NWS_I
2,3,뉴스,NWS_B
3,4,머머,-
4,5,있어?,-
5,1,생활,NWS_I
6,2,뉴스는,NWS_B
7,1,오늘의,DAT_B
8,2,사회,NWS_I
9,3,뉴스,NWS_B
10,4,좀,-
11,5,알려줘,-
12,1,오늘의,DAT_B
13,2,생활/문화,NWS_I
14,3,뉴스,NWS_B
15,4,머머,-
16,5,있어?,-
17,1,문화,NWS_I
18,2,뉴스,NWS_B
19,3,알려줘.,-
20,1,생활,NWS_I
21,2,뉴스는,NWS_B
22,3,알려줘.,-
23,1,IT,NWS_I
24,2,뉴스는,NWS_B
25,3,알려줘.,-
26,1,정치,NWS_I
27,2,뉴스는,NWS_B
28,3,머가,-
29,4,있어?,-
30,1,오늘의,DAT_B
31,2,문화,NWS_I
32,3,뉴스는,NWS_B
33,4,좀,-
34,1,어제의,DAT_B
35,2,세계,NWS_I
36,3,뉴스는,NWS_B
37,4,머가,-
38,5,있어?,-
39,1,오늘의,DAT_B
40,2,과학,NWS_I
41,3,뉴스는,NWS_B
42,4,좀,-
43,1,어제의,DAT_B
44,2,정치,NWS_I
45,3,뉴스,NWS_B
46,4,좀,-
47,5,알려줘,-
48,1,오늘의,DAT_B
49,2,생활/문화,NWS_I
50,3,뉴스,NWS_B
51,4,좀,-
52,5,알려줘,-
53,1,오늘의,DAT_B
54,2,IT,NWS_I
55,3,뉴스는,NWS_B
56,4,머머,-
57,5,있어?,-
58,1,생활,NWS_I
59,2,뉴스는,NWS_B
60,3,머가,-
61,4,있어?,-
62,1,오늘의,DAT_B
63,2,세계,NWS_I
64,3,뉴스는,NWS_B
65,1,어제의,DAT_B
66,2,세계,NWS_I
67,3,뉴스,NWS_B
68,4,좀,-
69,1,생활/문화,NWS_I
70,2,뉴스는,NWS_B
71,3,새로,-
72,4,나온거,-
73,5,있어?,-
74,1,어제의,DAT_B
75,2,세계,NWS_I
76,3,뉴스,NWS_B
77,4,머머,-
78,5,있어?,-
79,1,오늘의,DAT_B
80,2,뉴스는,NWS_B
81,3,새로,-
82,4,나온거,-
83,5,있어?,-
84,1,과학,NWS_I
85,2,뉴스는,NWS_B
86,3,새로,-
87,4,나온거,-
88,5,있어?,-
89,1,생활,NWS_I
90,2,뉴스,NWS_B
91,3,머가,-
92,4,있어?,-
93,1,어제의,DAT_B
94,2,정치,NWS_I
95,3,뉴스는,NWS_B
96,4,좀,-
97,1,생활/문화,NWS_I
98,2,뉴스는,NWS_B
99,3,새로,-
100,4,나온거,-
101,5,있어?,-
102,1,오늘의,DAT_B
103,2,과학,NWS_I
104,3,뉴스,NWS_B
105,4,새로,-
106,5,나온거,-
107,6,있어?,-
108,1,어제의,DAT_B
109,2,IT,NWS_I
110,3,뉴스는,NWS_B
111,4,알려줘.,-
112,1,세계,NWS_I
113,2,뉴스는,NWS_B
114,3,새로,-
115,4,나온거,-
116,5,있어?,-
117,1,IT,NWS_I
118,2,뉴스,NWS_B
119,3,좀,-
120,4,알려줘,-
121,1,세계,NWS_I
122,2,뉴스,NWS_B
123,3,좀,-
124,1,오늘의,DAT_B
125,2,문화,NWS_I
126,3,뉴스는,NWS_B
127,4,알려줘.,-
128,1,오늘의,DAT_B
129,2,문화,NWS_I
130,3,뉴스,NWS_B
131,4,좀,-
132,1,어제의,DAT_B
133,2,정치,NWS_I
134,3,뉴스,NWS_B
135,4,새로,-
136,5,나온거,-
