,index,src,tar
0,1,날씨,WTH_B
1,2,알려주겠니,-
2,1,날씨,WTH_B
3,2,정보,-
4,3,알려주세요,-
5,1,그,-
6,2,때,-
7,3,기온,-
8,4,어떨까,-
9,1,그,-
10,2,때,-
11,3,기온,-
12,4,좋으려나,-
13,1,기온,-
14,2,어떨,-
15,3,것,-
16,4,같은데,-
17,1,기온,-
18,2,어때,-
19,1,기온,-
20,2,말해줄래,-
21,1,기온,-
22,2,어떠니,-
23,1,구름,WTH_I
24,2,많이,-
25,3,꼈나,-
26,1,기온,-
27,2,어떠냐,-
28,1,야,-
29,2,기온,-
30,3,어때,-
31,1,아하,-
32,2,과천,LOC_B
33,3,날씨,WTH_B
34,4,맑을까,-
35,1,아하,-
36,2,증평,LOC_B
37,3,날씨,WTH_B
38,4,덥냐,ETC_I
39,1,아하,-
40,2,양구,LOC_B
41,3,날씨,WTH_B
42,4,흐리냐,ETC_I
43,1,아하,-
44,2,상주,LOC_B
45,3,우산,-
46,4,써야,-
47,5,할까,-
48,1,아하,-
49,2,계룡,LOC_B
50,3,날씨,WTH_B
51,4,흐리냐,ETC_I
52,1,아하,-
53,2,거제,LOC_B
54,3,날씨,WTH_B
55,4,덥냐,ETC_I
56,1,아하,-
57,2,제주,LOC_B
58,3,맑니,-
59,1,아하,-
60,2,영월,LOC_B
61,3,덥냐,ETC_I
62,1,아하,-
63,2,구례,LOC_B
64,3,날씨,WTH_B
65,4,맑니,-
66,1,아하,-
67,2,나주,LOC_B
68,3,우산,-
69,4,챙겨야해,-
70,1,아하,-
71,2,동두천,LOC_B
72,3,덥냐,ETC_I
73,1,아하,-
74,2,진도,LOC_B
75,3,날씨,WTH_B
76,4,추울까,ETC_I
77,1,아하,-
78,2,양주,LOC_B
79,3,덥냐,ETC_I
80,1,아하,-
81,2,상주,LOC_B
82,3,비오냐,WTH_I
83,1,그럼,-
84,2,고양,LOC_B
85,3,덥냐,ETC_I
86,1,아하,-
87,2,오산,LOC_B
88,3,날씨,WTH_B
89,4,더울까,ETC_I
90,1,아하,-
91,2,남원,LOC_B
92,3,날씨,WTH_B
93,4,더울까,ETC_I
94,1,아하,-
95,2,거제,LOC_B
96,3,우산,-
97,4,필요하니,-
